sku,name,price,description,url,image,tags
LAPTOP-001,Gaming Laptop Pro X1,1299.99,"High-performance gaming laptop with RTX 4060 graphics, 16GB RAM, 512GB SSD",https://example.com/products/gaming-laptop-x1,laptop.jpg,"electronics,gaming,computers,laptops"
MOUSE-WL-02,Wireless Ergonomic Mouse,29.99,Ergonomic wireless mouse with 3-year battery life and precision tracking,https://example.com/products/wireless-mouse,mouse.jpg,"electronics,accessories,peripherals"
KB-MECH-RGB,Mechanical RGB Keyboard,89.99,RGB mechanical keyboard with customizable backlighting and blue switches,https://example.com/products/rgb-keyboard,keyboard.jpg,"electronics,gaming,accessories,keyboards"
HUB-USBC-01,USB-C Multiport Hub,49.99,"Multi-port USB-C hub with HDMI 4K, ethernet, and 100W power delivery",https://example.com/products/usbc-hub,hub.jpg,"electronics,accessories,adapters"
STAND-MON-ADJ,Adjustable Monitor Stand,39.99,Height-adjustable monitor stand with built-in cable management system,https://example.com/products/monitor-stand,stand.jpg,"office,accessories,ergonomics"
CAM-HD-1080,Webcam HD 1080p,79.99,"Full HD webcam with auto-focus, noise cancellation, and privacy shutter",https://example.com/products/webcam-hd,webcam.jpg,"electronics,webcams,video"
HEADSET-PRO,Wireless Headset Pro,119.99,Professional wireless headset with active noise cancellation,https://example.com/products/wireless-headset,headset.jpg,"electronics,audio,headphones"
SSD-EXT-1TB,External SSD 1TB,149.99,"Portable external SSD with USB-C, 1000MB/s transfer speed",https://example.com/products/ssd-1tb,ssd.jpg,"electronics,storage,portable"
CABLE-MGT-01,Cable Management Kit,19.99,"Complete cable management solution with clips, sleeves, and ties",https://example.com/products/cable-kit,cables.jpg,"office,accessories,organization"
COOL-PAD-01,Laptop Cooling Pad,34.99,Laptop cooling pad with 5 quiet fans and adjustable height,https://example.com/products/cooling-pad,cooling.jpg,"electronics,accessories,cooling"
